| relid  | schemaname          | relname                    | seq_scan | last_seq_scan                 | seq_tup_read | idx_scan | last_idx_scan                 | idx_tup_fetch | n_tup_ins | n_tup_upd | n_tup_del | n_tup_hot_upd | n_tup_newpage_upd | n_live_tup | n_dead_tup | n_mod_since_analyze | n_ins_since_vacuum | last_vacuum | last_autovacuum               | last_analyze | last_autoanalyze              | vacuum_count | autovacuum_count | analyze_count | autoanalyze_count |
| 17273  | storage             | buckets_vectors            | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 212268 | public              | phone_change_requests      | 3        | 2026-03-03 07:18:50.152159+00 | 0            | 1        | 2026-03-04 07:23:25.600303+00 | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 36653  | public              | achievements               | 9        | 2026-03-05 07:53:25.275507+00 | 117          | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 201630 | public              | retailer_dump              | 11       | 2026-03-04 09:55:43.345161+00 | 182586       | 82739    | 2026-03-06 08:02:34.578349+00 | 87499         | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16791  | auth                | mfa_factors                | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 92810  | public              | group_messages             | 8        | 2026-03-05 12:43:20.490394+00 | 24           | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16858  | auth                | saml_providers             | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 110257 | realtime            | messages_2026_01_20        | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 36637  | public              | streaks                    | 2        | 2026-03-04 07:23:23.346415+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 191102 | public              | app_versions               | 12331    | 2026-03-06 09:43:22.585563+00 | 0            | 10       | 2026-03-05 07:53:24.844143+00 | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16588  | storage             | migrations                 | 0        | null                          | 0            | 2        | 2026-02-27 11:17:44.782469+00 | 58            | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 102156 | realtime            | messages_2026_01_15        | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 212158 | public              | program_folders            | 1        | 2026-03-03 07:17:55.948617+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 133897 | public              | user_actions               | 1        | 2026-03-04 21:51:56.18644+00  | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 212140 | public              | verification_codes         | 3        | 2026-03-03 07:17:49.415028+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16658  | vault               | secrets                    | 6        | 2026-03-05 09:33:48.943752+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 186245 | public              | kv_store_9ea3f468          | 0        | null                          | 0            | 1        | 2026-03-04 07:23:02.399558+00 | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 36666  | public              | user_achievements          | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16843  | auth                | sso_domains                | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 102168 | realtime            | messages_2026_01_16        | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 92772  | public              | groups                     | 2        | 2026-03-05 12:43:17.714454+00 | 22           | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 36685  | public              | challenges                 | 3        | 2026-03-05 04:47:11.129602+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 38350  | public              | departments                | 1        | 2026-03-05 05:30:25.557514+00 | 1            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 102192 | realtime            | messages_2026_01_18        | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 212230 | public              | points_history             | 3        | 2026-03-03 07:18:24.152305+00 | 0            | 1        | 2026-03-04 07:23:03.651385+00 | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 141923 | supabase_migrations | schema_migrations          | 13       | 2026-03-06 09:37:57.286321+00 | 26           | 5        | 2026-03-03 19:44:18.529521+00 | 5             | 0         | 5         | 0         | 0             | 0                 | 0          | 5          | 5                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 17144  | storage             | s3_multipart_uploads       | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 143151 | public              | hashtags                   | 1        | 2026-03-04 07:23:01.265806+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 36554  | public              | teams                      | 1        | 2026-03-04 07:23:11.865529+00 | 6            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 212210 | public              | program_top_performers     | 2        | 2026-03-03 07:18:16.135186+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 201756 | public              | retailer_dump_full         | 11282    | 2026-03-05 14:23:26.872381+00 | 12236292     | 148806   | 2026-03-05 07:40:50.281811+00 | 1570540918    | 0         | 307       | 0         | 3             | 304               | 0          | 304        | 307                 | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 212247 | public              | user_follows               | 4        | 2026-03-03 07:18:34.448682+00 | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 187449 | public              | van_calendar_conflicts     | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 187416 | public              | van_calendar_plans         | 266      | 2026-03-06 08:19:12.435132+00 | 1064         | 252      | 2026-03-06 08:19:18.479274+00 | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 102204 | realtime            | messages_2026_01_19        | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 36543  | public              | regions                    | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
